product_id,category_id,sku,name,description,list_price,active,specs_xml,created_at,updated_at
1,1,SKU-01-0001,Bluetooth Speaker,Bluetooth Speaker in category 1. High quality item for omnichannel retail.,281.79,1,<specs><brand>UrbanHome</brand><color>Grey</color><size>S</size><warranty>6 months</warranty></specs>,2024-10-01 15:33:27,2024-11-07 22:12:07
2,1,SKU-01-0002,Noise Cancelling Headphones,Noise Cancelling Headphones in category 1. High quality item for omnichannel retail.,603.84,1,<specs><brand>ActiveLife</brand><color>White</color><size>OneSize</size><warranty>6 months</warranty></specs>,2024-11-18 01:28:56,2024-11-26 05:34:02
3,1,SKU-01-0003,4K Smart TV,4K Smart TV in category 1. High quality item for omnichannel retail.,679.87,1,<specs><brand>ActiveLife</brand><color>Blue</color><size>OneSize</size><warranty>24 months</warranty></specs>,2025-07-16 01:19:43,2025-09-04 00:15:40
4,1,SKU-01-0004,Noise Cancelling Headphones,Noise Cancelling Headphones in category 1. High quality item for omnichannel retail.,156.18,1,<specs><brand>OmniBrand</brand><color>Black</color><size>OneSize</size><warranty>24 months</warranty></specs>,2025-05-14 08:42:57,2025-09-18 04:37:01
5,1,SKU-01-0005,Bluetooth Speaker,Bluetooth Speaker in category 1. High quality item for omnichannel retail.,283.70,1,<specs><brand>UrbanHome</brand><color>White</color><size>M</size><warranty>24 months</warranty></specs>,2023-04-18 19:50:34,2023-06-06 02:10:46
6,1,SKU-01-0006,4K Smart TV,4K Smart TV in category 1. High quality item for omnichannel retail.,827.85,1,<specs><brand>ActiveLife</brand><color>Grey</color><size>L</size><warranty>12 months</warranty></specs>,2023-12-09 22:53:19,2024-01-01 04:27:48
7,2,SKU-02-0007,Microwave Oven,Microwave Oven in category 2. High quality item for omnichannel retail.,279.49,1,<specs><brand>UrbanHome</brand><color>White</color><size>S</size><warranty>24 months</warranty></specs>,2025-11-23 15:50:28,2026-03-20 05:38:29
8,2,SKU-02-0008,Microwave Oven,Microwave Oven in category 2. High quality item for omnichannel retail.,943.38,1,<specs><brand>ActiveLife</brand><color>Silver</color><size>XL</size><warranty>24 months</warranty></specs>,2023-03-20 03:30:46,2023-07-22 14:41:22
9,2,SKU-02-0009,Blender Pro,Blender Pro in category 2. High quality item for omnichannel retail.,286.22,1,<specs><brand>OmniBrand</brand><color>Grey</color><size>L</size><warranty>24 months</warranty></specs>,2024-08-19 20:38:05,2024-11-11 16:42:39
10,2,SKU-02-0010,Blender Pro,Blender Pro in category 2. High quality item for omnichannel retail.,737.26,1,<specs><brand>ActiveLife</brand><color>Blue</color><size>M</size><warranty>6 months</warranty></specs>,2025-07-31 07:39:10,2025-09-15 23:26:46
11,2,SKU-02-0011,Microwave Oven,Microwave Oven in category 2. High quality item for omnichannel retail.,894.66,1,<specs><brand>UrbanHome</brand><color>Silver</color><size>XL</size><warranty>6 months</warranty></specs>,2023-09-12 18:34:22,2023-12-16 22:59:03
12,2,SKU-02-0012,Air Fryer,Air Fryer in category 2. High quality item for omnichannel retail.,23.68,1,<specs><brand>NorthTech</brand><color>Grey</color><size>M</size><warranty>12 months</warranty></specs>,2023-09-11 20:22:33,2024-01-30 11:24:43
13,3,SKU-03-0013,Winter Jacket,Winter Jacket in category 3. High quality item for omnichannel retail.,812.81,1,<specs><brand>UrbanHome</brand><color>White</color><size>S</size><warranty>24 months</warranty></specs>,2025-11-21 22:15:59,2026-04-23 05:04:55
14,3,SKU-03-0014,Basic T-Shirt,Basic T-Shirt in category 3. High quality item for omnichannel retail.,478.88,1,<specs><brand>NorthTech</brand><color>Red</color><size>XL</size><warranty>24 months</warranty></specs>,2023-04-23 20:30:38,2023-07-04 20:28:20
15,3,SKU-03-0015,Slim Fit Jeans,Slim Fit Jeans in category 3. High quality item for omnichannel retail.,609.56,1,<specs><brand>NorthTech</brand><color>Red</color><size>L</size><warranty>24 months</warranty></specs>,2023-02-19 16:45:38,2023-05-13 22:38:30
16,3,SKU-03-0016,Basic T-Shirt,Basic T-Shirt in category 3. High quality item for omnichannel retail.,728.66,1,<specs><brand>ActiveLife</brand><color>Silver</color><size>XL</size><warranty>6 months</warranty></specs>,2023-05-11 18:56:05,2023-07-03 06:48:52
17,3,SKU-03-0017,Winter Jacket,Winter Jacket in category 3. High quality item for omnichannel retail.,991.75,1,<specs><brand>OmniBrand</brand><color>Blue</color><size>L</size><warranty>24 months</warranty></specs>,2024-11-16 06:48:43,2024-12-03 22:29:21
18,3,SKU-03-0018,Winter Jacket,Winter Jacket in category 3. High quality item for omnichannel retail.,300.51,1,<specs><brand>NorthTech</brand><color>Red</color><size>OneSize</size><warranty>6 months</warranty></specs>,2024-09-29 21:48:32,2025-01-12 06:21:35
19,4,SKU-04-0019,Yoga Mat,Yoga Mat in category 4. High quality item for omnichannel retail.,867.92,0,<specs><brand>NorthTech</brand><color>Red</color><size>M</size><warranty>12 months</warranty></specs>,2024-10-03 01:12:23,2024-12-19 10:21:55
20,4,SKU-04-0020,Treadmill,Treadmill in category 4. High quality item for omnichannel retail.,24.62,1,<specs><brand>OmniBrand</brand><color>Grey</color><size>L</size><warranty>24 months</warranty></specs>,2025-04-03 09:17:37,2025-07-25 15:59:25
