promotion_id,code,name,description,start_date,end_date,discount_type,discount_value,rules_json,is_active,created_at,updated_at
1,PROMO001,Summer Sale,Summer Sale promotion with fixed_amount discount.,2024-01-09,2024-01-31,fixed_amount,13.73,"{""min_order_value"": 121.92, ""eligible_channels"": [""store"", ""online""], ""max_uses_per_customer"": 4, ""eligible_category_ids"": [3, 9, 17, 2, 4]}",1,2024-01-09 00:00:00,2024-02-01 00:00:00
2,PROMO002,Winter Clearance,Winter Clearance promotion with free_shipping discount.,2024-02-05,2024-03-14,free_shipping,0.00,"{""min_order_value"": 186.34, ""eligible_channels"": [""store"", ""online""], ""max_uses_per_customer"": 2, ""eligible_category_ids"": [6, 7]}",1,2024-02-05 00:00:00,2024-03-15 00:00:00
3,PROMO003,Black Friday,Black Friday promotion with fixed_amount discount.,2024-01-28,2024-03-19,fixed_amount,83.58,"{""min_order_value"": 146.44, ""eligible_channels"": [""online"", ""store""], ""max_uses_per_customer"": 3}",1,2024-01-28 00:00:00,2024-03-20 00:00:00
4,PROMO004,Cyber Monday,Cyber Monday promotion with fixed_amount discount.,2024-06-25,2024-08-11,fixed_amount,79.77,"{""min_order_value"": 150.86, ""eligible_channels"": [""store""], ""max_uses_per_customer"": 2, ""eligible_category_ids"": [5, 4, 6, 16, 3], ""eligible_store_ids"": [1, 6]}",1,2024-06-25 00:00:00,2024-08-12 00:00:00
5,PROMO005,New Customer Welcome,New Customer Welcome promotion with fixed_amount discount.,2024-05-27,2024-07-13,fixed_amount,93.56,"{""min_order_value"": 193.33, ""eligible_channels"": [""store""], ""max_uses_per_customer"": 1, ""eligible_category_ids"": [6, 9], ""eligible_store_ids"": [1, 9, 3]}",1,2024-05-27 00:00:00,2024-07-14 00:00:00
6,PROMO006,Loyalty Bonus,Loyalty Bonus promotion with percentage discount.,2024-05-17,2024-07-08,percentage,6.58,"{""min_order_value"": 65.61, ""eligible_channels"": [""store""], ""max_uses_per_customer"": 1, ""eligible_category_ids"": [5, 19, 6, 3, 17]}",1,2024-05-17 00:00:00,2024-07-09 00:00:00
7,PROMO007,Weekend Flash Deal,Weekend Flash Deal promotion with bogo discount.,2024-02-08,2024-02-28,bogo,0.00,"{""min_order_value"": 140.68, ""eligible_channels"": [""store"", ""online""], ""max_uses_per_customer"": 4}",1,2024-02-08 00:00:00,2024-02-29 00:00:00
8,PROMO008,Holiday Special,Holiday Special promotion with free_shipping discount.,2024-01-07,2024-02-16,free_shipping,0.00,"{""min_order_value"": 178.16, ""eligible_channels"": [""online"", ""store""], ""max_uses_per_customer"": 4}",1,2024-01-07 00:00:00,2024-02-17 00:00:00
9,PROMO009,Back to School,Back to School promotion with bogo discount.,2024-03-22,2024-05-02,bogo,0.00,"{""min_order_value"": 116.77, ""eligible_channels"": [""store""], ""max_uses_per_customer"": 2, ""eligible_category_ids"": [9, 11, 8]}",1,2024-03-22 00:00:00,2024-05-03 00:00:00
10,PROMO010,Free Shipping Promo,Free Shipping Promo promotion with free_shipping discount.,2024-04-28,2024-06-25,free_shipping,0.00,"{""min_order_value"": 27.91, ""eligible_channels"": [""online"", ""store""], ""max_uses_per_customer"": 3}",1,2024-04-28 00:00:00,2024-06-26 00:00:00
11,PROMO011,BOGO Toys,BOGO Toys promotion with bogo discount.,2024-03-23,2024-04-15,bogo,0.00,"{""min_order_value"": 115.9, ""eligible_channels"": [""online""], ""max_uses_per_customer"": 1}",1,2024-03-23 00:00:00,2024-04-16 00:00:00
12,PROMO012,Electronics Savings,Electronics Savings promotion with free_shipping discount.,2024-03-06,2024-04-23,free_shipping,0.00,"{""min_order_value"": 128.19, ""eligible_channels"": [""store"", ""online""], ""max_uses_per_customer"": 1, ""eligible_category_ids"": [9, 17], ""eligible_store_ids"": [2, 3]}",1,2024-03-06 00:00:00,2024-04-24 00:00:00
13,PROMO013,Home Essentials Deal,Home Essentials Deal promotion with bogo discount.,2024-06-19,2024-08-12,bogo,0.00,"{""min_order_value"": 149.24, ""eligible_channels"": [""store"", ""online""], ""max_uses_per_customer"": 4}",1,2024-06-19 00:00:00,2024-08-13 00:00:00
14,PROMO014,Fashion Fiesta,Fashion Fiesta promotion with bogo discount.,2024-02-17,2024-04-13,bogo,0.00,"{""min_order_value"": 32.75, ""eligible_channels"": [""online""], ""max_uses_per_customer"": 4}",1,2024-02-17 00:00:00,2024-04-14 00:00:00
15,PROMO015,Beauty Boost,Beauty Boost promotion with fixed_amount discount.,2024-04-06,2024-05-31,fixed_amount,47.70,"{""min_order_value"": 167.36, ""eligible_channels"": [""store"", ""online""], ""max_uses_per_customer"": 2, ""eligible_category_ids"": [15, 17, 5, 18]}",1,2024-04-06 00:00:00,2024-06-01 00:00:00
16,PROMO016,Sports & Outdoors Promo,Sports & Outdoors Promo promotion with percentage discount.,2024-05-13,2024-06-04,percentage,22.58,"{""min_order_value"": 177.02, ""eligible_channels"": [""store""], ""max_uses_per_customer"": 2, ""eligible_category_ids"": [15]}",1,2024-05-13 00:00:00,2024-06-05 00:00:00
17,PROMO017,Gaming Madness,Gaming Madness promotion with free_shipping discount.,2024-06-19,2024-07-22,free_shipping,0.00,"{""min_order_value"": 20.99, ""eligible_channels"": [""online""], ""max_uses_per_customer"": 3, ""eligible_category_ids"": [13]}",1,2024-06-19 00:00:00,2024-07-23 00:00:00
18,PROMO018,Kitchen Upgrade,Kitchen Upgrade promotion with free_shipping discount.,2024-06-09,2024-08-03,free_shipping,0.00,"{""min_order_value"": 25.4, ""eligible_channels"": [""online"", ""store""], ""max_uses_per_customer"": 4, ""eligible_category_ids"": [20]}",1,2024-06-09 00:00:00,2024-08-04 00:00:00
19,PROMO019,Accessory Add-On,Accessory Add-On promotion with percentage discount.,2024-01-18,2024-03-17,percentage,13.11,"{""min_order_value"": 40.41, ""eligible_channels"": [""online""], ""max_uses_per_customer"": 2, ""eligible_category_ids"": [9, 19, 10]}",1,2024-01-18 00:00:00,2024-03-18 00:00:00
20,PROMO020,Last Chance,Last Chance promotion with fixed_amount discount.,2024-06-01,2024-07-05,fixed_amount,24.67,"{""min_order_value"": 84.14, ""eligible_channels"": [""online"", ""store""], ""max_uses_per_customer"": 4, ""eligible_category_ids"": [7, 11, 10]}",1,2024-06-01 00:00:00,2024-07-06 00:00:00
